ID,SUBID,ALARMLEVEL,UNITTYPE,UNITID,EQPID,DESCRIPTION,STATUS,EDITEDTIME,CLEARTIME,SETTIME
496,0,0,CRANE,C0STKA71_C02,C0STKA71,EXISTENCE OF LOAD AT ACTIVE SET BIT ON(C0STKA71_M01),1,8/21/2024 1:58:38 AM,2024-08-21 01:58:38,2024-08-21 01:47:49
496,0,0,CRANE,C0STKA71_C02,C0STKA71,EXISTENCE OF LOAD AT ACTIVE SET BIT ON(C0STKA71_M01),1,8/21/2024 1:58:54 AM,2024-08-21 01:58:54,2024-08-21 01:58:38
496,0,0,CRANE,C0STKA71_C02,C0STKA71,EXISTENCE OF LOAD AT ACTIVE SET BIT ON(C0STKA71_M01),1,8/21/2024 1:59:53 AM,2024-08-21 01:59:53,2024-08-21 01:58:55
496,0,0,CRANE,C0STKA71_C02,C0STKA71,EXISTENCE OF LOAD AT ACTIVE SET BIT ON(C0STKA71_M01),1,8/21/2024 2:00:07 AM,2024-08-21 02:00:07,2024-08-21 01:59:54
496,0,0,CRANE,C0STKA71_C02,C0STKA71,EXISTENCE OF LOAD AT ACTIVE SET BIT ON(C0STKA71_M01),1,8/21/2024 2:02:13 AM,2024-08-21 02:02:13,2024-08-21 02:00:08
1064,,5,STKMAIN,C0STKA71,C0STKA71,1 Safety Relay Reset,1,8/21/2024 2:01:31 AM,2024-08-21 02:01:31,2024-08-21 02:01:28
9910,,10,STKMAIN,C0STKA71,C0STKA71,No defined alarm[STKMAIN],3,8/21/2024 2:06:17 AM,2024-08-21 02:06:17,2024-08-21 02:01:28
9001,,5,STKMAIN,C0STKA71,C0STKA71,SYSTEM INTERLOCK,1,8/21/2024 2:06:17 AM,2024-08-21 02:06:17,2024-08-21 02:01:28
9900,,5,STKMAIN,C0STKA71,C0STKA71,SYSTEM STOP,1,8/21/2024 2:06:24 AM,2024-08-21 02:06:24,2024-08-21 02:01:28
654,0,0,CRANE,C0STKA71_C01,C0STKA71,Booth Reset S/W,1,8/21/2024 2:06:34 AM,2024-08-21 02:06:34,2024-08-21 02:01:29
1033,,5,STKMAIN,C0STKA71,C0STKA71,OP DOOR KEY UNLOCK,1,8/21/2024 2:06:17 AM,2024-08-21 02:06:17,2024-08-21 02:01:29
1001,,5,STKMAIN,C0STKA71,C0STKA71,OP DOOR OPEN,1,8/21/2024 2:06:13 AM,2024-08-21 02:06:13,2024-08-21 02:01:31
1245,,5,STKMAIN,C0STKA71,C0STKA71,Optical Modem Data Receive Error (RM2),1,8/21/2024 2:01:46 AM,2024-08-21 02:01:46,2024-08-21 02:01:37
584,0,0,CRANE,C0STKA71_C02,C0STKA71,[MANAUL] MU GRIP SW OFF(C0STKA71_M01),1,8/21/2024 2:02:47 AM,2024-08-21 02:02:47,2024-08-21 02:02:41
584,0,0,CRANE,C0STKA71_C02,C0STKA71,[MANAUL] MU GRIP SW OFF(C0STKA71_M01),1,8/21/2024 2:03:03 AM,2024-08-21 02:03:03,2024-08-21 02:02:52
584,0,0,CRANE,C0STKA71_C02,C0STKA71,[MANAUL] MU GRIP SW OFF(C0STKA71_M01),1,8/21/2024 2:03:11 AM,2024-08-21 02:03:11,2024-08-21 02:03:07
584,0,0,CRANE,C0STKA71_C02,C0STKA71,[MANAUL] MU GRIP SW OFF(C0STKA71_M01),1,8/21/2024 2:06:41 AM,2024-08-21 02:06:41,2024-08-21 02:04:35
1064,,5,STKMAIN,C0STKA71,C0STKA71,1 Safety Relay Reset,1,8/21/2024 2:06:21 AM,2024-08-21 02:06:21,2024-08-21 02:06:13
496,0,0,CRANE,C0STKA71_C02,C0STKA71,EXISTENCE OF LOAD AT ACTIVE SET BIT ON(C0STKA71_M01),1,8/21/2024 2:06:58 AM,2024-08-21 02:06:58,2024-08-21 02:06:41
496,0,0,CRANE,C0STKA71_C02,C0STKA71,EXISTENCE OF LOAD AT ACTIVE SET BIT ON(C0STKA71_M01),1,8/21/2024 2:10:10 AM,2024-08-21 02:10:10,2024-08-21 02:06:59
1064,,5,STKMAIN,C0STKA71,C0STKA71,1 Safety Relay Reset,1,8/21/2024 2:07:40 AM,2024-08-21 02:07:40,2024-08-21 02:07:36
9910,,10,STKMAIN,C0STKA71,C0STKA71,No defined alarm[STKMAIN],3,8/21/2024 2:11:37 AM,2024-08-21 02:11:37,2024-08-21 02:07:36
